"visit_date","utm_source","utm_medium","utm_campaign","cpu"
"2023-06-28",yandex,cpc,freemium,66.49
"2023-06-28",yandex,cpc,prof-professions-retarget,52.41
"2023-06-29",yandex,cpc,dod-qa,1458.20
"2023-06-29",vk,cpc,base-python,837.00
"2023-06-29",vk,cpc,freemium-java,761.50
"2023-06-29",vk,cpc,prof-java,717.88
"2023-06-29",vk,cpc,prof-frontend,544.20
"2023-06-29",yandex,cpc,prof-frontend,439.59
"2023-06-29",vk,cpc,freemium-python,342.00
"2023-06-29",vk,cpc,prof-python,331.00
"2023-06-29",yandex,cpc,prof-java,288.28
"2023-06-29",yandex,cpc,base-python,265.15
"2023-06-29",yandex,cpc,prof-python,236.94
"2023-06-29",yandex,cpc,base-java,236.86
"2023-06-29",yandex,cpc,base-professions-retarget,189.00
"2023-06-29",vk,cpc,freemium-frontend,126.90
"2023-06-29",yandex,cpc,base-frontend,114.37
"2023-06-29",yandex,cpc,prof-professions-brand,88.16
"2023-06-29",yandex,cpc,freemium,66.00
"2023-06-29",yandex,cpc,prof-professions-retarget,36.12
"2023-06-30",yandex,cpc,dod-qa,1302.00
"2023-06-30",vk,cpc,base-python,761.33
"2023-06-30",vk,cpc,prof-frontend,717.67
"2023-06-30",vk,cpc,prof-python,712.71
"2023-06-30",vk,cpc,prof-java,537.79
"2023-06-30",vk,cpc,freemium-java,381.00
"2023-06-30",yandex,cpc,prof-frontend,322.39
"2023-06-30",vk,cpc,freemium-frontend,317.38
"2023-06-30",yandex,cpc,prof-java,296.54
"2023-06-30",yandex,cpc,base-frontend,222.46
"2023-06-30",yandex,cpc,prof-python,210.21
"2023-06-30",vk,cpc,freemium-python,175.08
"2023-06-30",yandex,cpc,base-python,145.12
"2023-06-30",yandex,cpc,base-professions-retarget,121.60
"2023-06-30",yandex,cpc,base-java,114.66
"2023-06-30",yandex,cpc,freemium,89.31
"2023-06-30",yandex,cpc,prof-professions-retarget,68.16
"2023-06-30",yandex,cpc,prof-professions-brand,65.60
