"source","medium","campaign","visit_date","visitors_count"
vk,cpc,prof-java,"2023-06-09",161
vk,cpc,freemium-python,"2023-06-09",122
vk,cpc,prof-frontend,"2023-06-09",114
vk,cpc,freemium-java,"2023-06-09",109
vk,cpc,base-python,"2023-06-09",105
admitad,cpa,admitad,"2023-06-09",72
bing.com,organic,,"2023-06-09",53
timepad,cpp,base-frontend,"2023-06-09",35
telegram,cpp,base-frontend,"2023-06-09",18
vk-senler,cpc,freemium,"2023-06-09",16
vk,cpm,prof-data-analytics,"2023-06-09",11
vk,cpp,base-frontend,"2023-06-09",8
tproger,cpc,dod-frontend,"2023-06-09",7
baidu.com,organic,,"2023-06-09",6
telegram,cpp,prof-python,"2023-06-09",5
vk,cpm,prof-frontend,"2023-06-09",5
telegram,cpp,base-java,"2023-06-09",4
vk,social,all-courses,"2023-06-09",4
telegram,cpp,dod-frontend,"2023-06-09",3
telegram,social,hexlet-blog,"2023-06-09",3
vk,social,base-python,"2023-06-09",3
telegram,cpp,prof-java,"2023-06-09",3
go.mail.ru,organic,,"2023-06-09",2
vk,social,base-frontend,"2023-06-09",2
telegram,cpp,prof-frontend,"2023-06-09",2
vk,social,dod-java,"2023-06-09",2
yandex.com,organic,,"2023-06-09",2
telegram,social,course_completed,"2023-06-09",2
rutube,social,all-courses,"2023-06-09",1
telegram,social,kak-gumanitariy-stal-bekend-razrabotchiko,"2023-06-09",1
vk,cpc,frontend,"2023-06-09",1
twitter,social,devushki_v_it,"2023-06-09",1
twitter,social,hexlet-blog,"2023-06-09",1
telegram.me,social,klassicheskaya-zadachka-fizzbuzz-na-hekslet,"2023-06-09",1
facebook,social,hexlet-blog,"2023-06-09",1
telegram,social,webinars,"2023-06-09",1
Yandex,cpc,"42790821","2023-06-09",1
telegram.me,social,printsipy-programmirovaniya-heksletahttp,"2023-06-09",1
social,youtube,chistie-funktsii,"2023-06-09",1
Yandex,cpc,"87255026","2023-06-09",1
vk,social,hexlet-blog,"2023-06-09",1
telegram,cpp,base-python,"2023-06-09",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-09",1
vk,social,dod-frontend,"2023-06-09",1
telegram,cpp,dod-php,"2023-06-09",1
vk,social,prof-python,"2023-06-09",1
mytarget,cpc,freemium,"2023-06-09",1
telegram.me,social,na-hekslet-poyavilis-novye-ispytaniya-v-k,"2023-06-09",1
vk,social,dod-php,"2023-06-09",1
google,organic,,"2023-06-10",3363
organic,organic,,"2023-06-10",1122
vk,cpc,prof-python,"2023-06-10",166
vk,cpc,freemium-frontend,"2023-06-10",156
vk,cpc,prof-java,"2023-06-10",150
vk,cpc,freemium-python,"2023-06-10",143
vk,cpc,prof-data-analytics,"2023-06-10",132
vk,cpc,base-python,"2023-06-10",119
vk,cpc,freemium-java,"2023-06-10",108
vk,cpc,prof-frontend,"2023-06-10",98
admitad,cpa,admitad,"2023-06-10",49
bing.com,organic,,"2023-06-10",42
vk-senler,cpc,freemium,"2023-06-10",18
vk,cpm,prof-data-analytics,"2023-06-10",12
telegram,cpp,base-frontend,"2023-06-10",9
timepad,cpp,base-frontend,"2023-06-10",7
vk,cpm,prof-frontend,"2023-06-10",5
baidu.com,organic,,"2023-06-10",4
twitter,social,promo,"2023-06-10",2
google,cpc,frontend,"2023-06-10",2
telegram,cpp,base-java,"2023-06-10",2
vk,cpm,base,"2023-06-10",2
vk,social,hexlet-blog,"2023-06-10",2
telegram,social,course_completed,"2023-06-10",2
telegram,cpp,base-python,"2023-06-10",2
vk,cpp,base-frontend,"2023-06-10",2
yandex.com,organic,,"2023-06-10",2
vk,social,all-courses,"2023-06-10",2
telegram,cpp,prof-java,"2023-06-10",1
